,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q13,Q14a,Q14b,Q14c,Q14d,Q14e,Q15,Q16a,Q16b,Q16c,Q16d,Q16e,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q21j,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q22g,Q23a,Q23b,Q23c,Q23d,Q23e,Q23f,Q23g,Q23h,Q23i,Q23j,Q24a,Q24b,Q24c,Q24d,Q24e,Q24f,Q24g,Q24h,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,Q25h,Q25i,Q25j,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35a,Q35b,Q35c,Q35d,Q36a,Q36b,Q36c,Q36d,Q36e,Q36f,Q36g,Q36h,Q36i,Q36j,Q37,Q38a_1,Q38b_1,Q38c_1,Q38d_1,Q38e_1,Q38f_1,Q38g_1,Q38h_1,Q38i_1,Q38j_1,Q38k_1,Q38l_1,Q38m_1,Q38n_1,Q38o_1,Q38p_1,Q38a_2,Q38b_2,Q38c_2,Q38d_2,Q38e_2,Q38f_2,Q38g_2,Q38h_2,Q38i_2,Q38j_2,Q38k_2,Q38l_2,Q38m_2,Q38n_2,Q38o_2,Q38p_2,SOURCE
25195,Romania,1,1,1,3,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,6,2,4,4,1,1,5,1,3,3,1,12,3,1,1,1,2,1,5,4,4,3,2,3,1,2,4,5,5,2,5,4,1,1,4,4,5,1,1,1,1,2,,2,2,2,3,5,5,5,4,4,4,4,4,4,4,2,5,3,3,2,5,2,3,1,1,4,4,1,5,1,3,4,5,1,4,4,2,1,1,1,1,5,4,1,5,1,1,3,en
1959,Bangladesh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
350,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
2317,Bosnia and Herzegovina,1,1,1,4,22,2,2,4,,,2,,1,4,,,,,1,0,0,0,0,1,5,4,,,4,3,3,5,,,4,3,,,,,4,,,4,3,2,4,4,3,5,5,5,5,2,5,5,5,5,4,5,5,4,4,5,4,3,5,4,6,6,4,3,3,1,1,5,1,3,6,3,1,3,3,1,4,4,4,3,1,2,1,1,1,3,2,2,3,1,1,3,1,1,2,2,3,3,1,1,2,,2,,2,4,,,4,3,2,3,4,4,,,,,1,4,3,4,2,4,3,2,2,1,4,4,1,3,1,2,4,4,2,5,4,3,3,2,5,1,5,5,3,3,1,4,2,en
4804,Chile,1,1,1,3,,2,2,4,4,,,3,1,4,4,,,4,1,1,0,0,0,0,1,5,,5,5,5,4,,,,5,,,,,,,5,,3,3,3,3,3,4,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,3,3,5,1,6,6,1,5,3,1,1,6,1,3,12,6,1,3,6,3,3,3,2,4,4,5,2,3,2,4,5,3,4,3,2,3,4,3,3,5,2,5,,1,1,1,2,,1,4,3,5,4,1,1,1,1,1,4,4,1,1,2,4,3,2,3,2,5,5,2,2,1,3,1,3,1,2,4,5,2,5,3,1,5,2,5,4,5,5,5,3,1,3,1,es
1279,Bangladesh,,1,1,,23,,2,,,,,,1,,,,,,1,0,0,0,0,1,5,,,,,,5,,,,,,,,,,,,,5,4,4,4,2,4,5,5,4,4,1,3,1,5,5,4,4,4,2,2,4,2,2,2,4,4,6,3,1,1,1,1,5,4,1,3,1,1,1,1,6,1,5,1,3,4,4,1,4,1,3,1,2,2,1,2,2,1,1,1,4,3,3,4,1,1,1,2,,4,4,4,2,5,5,5,4,5,5,5,5,,4,1,5,1,3,4,4,4,4,1,4,1,5,1,5,4,5,5,5,1,1,1,1,4,4,5,1,1,5,5,5,4,5,1,en
12898,Italy,1,1,1,2,24,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,6,1,4,1,1,1,6,1,3,3,3,3,3,3,3,3,3,3,3,4,4,1,3,4,4,2,3,4,2,2,4,3,1,1,1,3,5,5,1,1,4,2,,4,3,4,4,4,5,5,5,5,5,5,4,5,5,2,4,5,5,5,5,5,3,1,3,1,1,1,4,1,4,4,5,1,1,3,1,5,3,1,1,1,1,5,4,1,3,1,it
10713,India,1,1,1,3,21,2,2,2,2,2,4,2,1,2,2,2,2,2,1,1,0,0,0,0,1,4,4,4,4,4,2,2,2,2,2,4,4,3,3,2,4,2,2,5,1,5,3,3,2,5,5,1,5,1,5,5,5,4,4,5,5,5,5,5,5,4,3,3,6,6,2,3,1,1,1,6,3,3,3,3,1,1,1,1,3,3,3,4,4,4,4,4,4,5,2,1,3,3,3,2,3,3,3,4,5,5,,1,1,1,1,1,4,3,3,5,5,5,5,4,5,5,5,5,5,5,1,4,4,4,4,4,4,4,2,2,2,2,1,4,2,3,4,5,2,1,2,1,5,2,4,4,4,4,5,4,4,4,2,en
757,Argentina,1,1,1,4,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,6,1,4,3,1,1,6,1,3,3,3,1,3,3,3,4,5,5,3,3,4,3,4,2,3,4,4,3,5,4,3,5,3,4,4,2,5,,1,2,,2,,5,4,3,5,4,5,5,5,5,5,5,5,5,5,2,3,5,5,4,4,2,5,1,1,1,1,1,4,1,5,5,5,1,1,1,1,4,4,1,1,1,5,5,4,1,5,1,es
20831,Poland,1,1,2,3,23,1,2,5,5,5,3,2,1,5,5,5,3,2,1,1,1,1,1,0,1,5,5,5,5,5,2,5,5,5,4,3,,,,3,3,4,3,2,3,1,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,1,1,3,6,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,5,,1,2,,1,1,4,4,4,4,4,,,,,,,,,,2,5,3,3,3,5,3,4,1,2,3,2,1,2,2,2,3,5,2,2,2,5,2,4,4,2,3,5,5,3,3,3,2,en
23198,Portugal,1,1,1,2,,2,2,4,3,3,4,3,1,2,2,4,3,3,1,1,1,1,0,0,3,5,3,3,3,4,5,3,3,3,4,3,3,3,3,3,3,3,3,5,1,4,3,2,3,3,5,5,3,1,5,5,5,3,4,4,3,4,4,4,3,1,4,4,4,1,1,4,4,1,1,4,1,3,3,3,1,3,3,1,2,2,2,4,4,5,3,2,3,2,3,3,5,5,5,5,5,5,3,1,3,5,,1,1,1,1,2,4,3,3,5,5,3,3,4,4,4,4,4,4,3,2,4,3,2,2,1,3,2,1,3,3,2,2,3,1,4,4,5,1,5,5,5,4,4,5,4,5,5,5,3,1,2,2,pt
20510,Poland,1,1,2,2,23,2,2,3,3,3,2,3,1,2,,,,3,1,1,0,1,0,0,3,2,3,3,2,3,4,4,2,4,3,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
19457,Oman,1,1,1,3,21,2,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
28484,Turkey,1,1,1,1,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,4,2,2,2,2,4,4,3,2,3,3,2,3,2,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tr
9863,Hungary,1,2,1,3,25,2,2,,,,3,2,5,,5,,3,1,5,0,0,0,0,1,5,4,1,2,2,2,5,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,6,1,4,4,1,4,1,1,1,4,,,,,,,,,3,3,3,2,2,2,2,2,2,5,1,1,4,1,1,1,1,1,1,2,1,1,5,1,2,,2,,1,2,1,3,1,1,5,3,5,4,4,4,4,4,2,4,4,3,4,1,2,3,1,3,2,4,1,3,1,2,5,5,2,4,4,1,2,,4,3,5,5,3,3,1,2,4,en
12151,Indonesia,1,2,1,3,20,1,2,3,3,3,3,3,1,3,3,3,3,3,1,1,0,1,1,0,4,3,3,2,3,3,5,4,4,3,3,3,3,3,3,3,3,3,4,4,1,4,2,1,1,3,2,4,4,3,4,2,3,4,2,4,4,3,3,4,4,3,4,6,1,1,2,2,1,1,1,1,1,12,12,6,,12,1,3,4,3,3,2,2,2,1,3,1,3,5,4,3,3,3,3,3,3,2,2,2,3,4,1,,,2,,2,4,3,5,4,5,4,4,4,3,3,4,5,3,1,4,5,5,4,5,3,3,5,,1,4,4,4,4,5,4,5,2,1,1,1,2,2,5,,3,1,5,1,2,1,2,en
14155,Italy,1,1,2,4,24,2,2,5,4,,,,1,5,4,,,,1,1,0,1,0,0,1,4,3,4,4,3,4,4,3,4,5,4,3,3,3,3,3,3,3,2,2,2,5,4,4,5,5,5,5,5,5,5,5,2,5,4,4,1,5,4,4,4,3,1,3,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,4,4,4,2,2,3,3,3,2,1,1,2,3,3,3,2,3,1,2,1,3,5,,1,2,,2,,4,5,3,4,4,5,4,2,5,4,4,4,5,5,2,4,4,4,4,3,3,4,1,3,1,5,1,5,4,4,4,4,2,1,4,3,2,1,1,2,1,1,5,5,4,4,1,en
18223,Mozambique,1,2,1,3,28,2,2,2,,2,,2,5,,,,2,2,5,0,0,0,1,0,1,4,4,2,2,,2,2,2,3,2,1,,1,,1,,,3,4,1,5,1,1,2,2,3,2,2,1,1,1,3,2,3,3,4,3,3,4,3,3,4,4,3,6,1,4,3,1,1,5,4,3,6,4,3,3,6,3,1,5,1,2,2,3,1,1,1,1,5,5,5,2,5,5,2,1,2,1,5,1,2,2,1,1,2,,3,2,2,2,,,4,4,4,4,4,4,3,4,2,3,2,4,1,1,5,1,2,1,,1,1,2,2,5,4,4,1,5,5,5,5,5,4,5,4,5,5,4,3,2,2,pt
6309,Ecuador,1,1,1,3,24,2,2,3,,,,,1,,3,,,,2,1,0,0,0,0,1,,,,,,4,,,4,5,,3,,,,4,,4,5,,,,,,2,4,5,1,1,1,2,1,4,1,4,3,1,4,5,4,1,3,1,4,6,1,4,4,1,4,6,1,1,3,6,1,1,6,1,1,3,1,4,3,5,5,1,4,4,4,4,3,4,5,4,5,3,3,3,5,2,2,,2,,1,,1,3,2,2,4,5,4,5,3,5,2,4,,2,2,3,3,3,1,1,2,1,3,1,1,1,1,4,1,4,3,4,1,5,3,4,3,2,5,1,4,3,5,1,1,1,1,es
30769,United States of America,1,1,1,3,21,1,2,3,4,4,3,3,2,3,4,3,4,3,2,0,0,0,0,1,5,5,4,4,4,4,4,4,2,,4,4,,,,,,,,4,2,4,4,1,3,3,4,5,5,3,5,5,4,3,4,4,4,4,4,4,4,3,4,2,5,3,1,4,2,1,1,5,1,3,6,6,1,6,6,6,2,3,3,4,3,3,1,3,2,5,4,2,2,2,2,4,3,3,4,1,2,5,,,2,,1,1,5,2,3,5,4,4,2,,4,2,4,5,,,1,4,5,3,5,5,2,1,1,4,1,3,1,3,2,4,5,4,3,5,3,1,4,1,1,4,5,5,5,3,4,2,2,en
5044,Chile,1,2,1,3,38,1,2,,,,,,,,,,,,,0,0,0,1,0,4,,,,,,2,,,,,,,,,,,,,,,,,,,3,4,2,3,1,1,1,4,1,4,4,4,3,4,4,4,3,4,2,2,1,1,1,2,1,1,1,1,1,3,3,3,1,3,1,3,4,2,3,3,3,2,2,2,2,5,5,2,4,4,4,4,4,2,1,5,3,,3,2,,2,,2,1,1,,5,5,5,5,5,5,4,5,5,4,2,3,1,2,4,1,3,1,2,1,1,1,1,1,1,3,3,3,1,5,5,5,2,1,5,1,1,5,5,1,1,1,1,es
24757,Romania,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ro
25185,Romania,1,1,1,4,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
17383,Mexico,1,1,1,1,28,1,2,3,,,,4,1,4,2,,,,1,1,0,1,1,0,1,4,4,4,4,4,4,4,4,3,4,4,2,2,,3,3,4,3,4,1,3,3,3,3,3,1,5,4,2,4,5,5,3,4,5,4,4,4,5,4,3,4,2,3,1,1,2,3,1,1,6,1,3,6,1,1,12,3,1,3,2,3,4,4,3,2,2,3,4,5,5,4,5,5,5,5,3,4,3,3,2,1,3,2,,1,1,1,4,4,4,4,,,,5,5,5,5,4,5,2,4,5,2,3,5,2,4,2,3,2,3,2,3,2,5,5,5,1,5,5,1,4,4,4,3,4,5,5,2,2,2,1,es
21648,Poland,1,1,1,1,22,1,2,,,,4,4,1,4,,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
385,Argentina,1,1,1,2,24,1,2,4,4,2,2,1,4,4,4,3,3,2,4,1,0,1,0,0,1,4,2,5,4,5,3,4,3,5,4,,,,,,4,,,4,,,4,4,,5,5,5,5,4,5,5,5,4,5,5,5,3,4,4,4,2,4,3,4,,1,4,4,1,1,6,1,1,1,3,12,1,1,1,4,5,2,4,4,3,1,2,2,4,3,4,4,3,1,3,5,2,2,1,,2,2,,2,,2,,2,3,3,4,2,4,4,5,5,4,4,,5,,2,4,3,2,1,4,5,1,1,,1,5,1,3,1,4,5,5,1,5,2,1,4,4,1,,1,5,5,3,1,1,2,es
19448,Oman,1,1,1,4,23,,2,4,3,3,1,1,3,4,2,2,1,1,3,0,0,1,0,0,1,5,1,1,1,1,5,1,1,1,2,1,1,,,4,1,,1,5,1,5,2,2,3,2,5,4,3,2,1,5,2,1,2,5,3,4,3,,4,3,2,1,2,1,1,2,1,1,1,1,1,12,12,12,12,12,12,12,2,1,1,5,5,5,5,3,5,4,5,5,4,4,5,5,5,2,4,3,4,3,2,3,2,,1,1,5,1,4,5,2,5,5,5,5,4,,,5,,2,3,4,4,1,5,2,1,3,3,1,3,1,5,1,4,4,5,2,5,5,1,4,2,5,5,5,5,5,2,4,1,1,en
7472,Ecuador,1,1,1,1,23,2,2,3,,,3,4,1,3,,,,4,1,1,0,0,0,0,1,5,1,5,5,5,4,3,4,4,4,2,4,3,3,4,5,4,4,4,,2,3,4,4,2,5,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,4,3,2,6,2,3,1,1,2,1,1,3,1,1,1,3,1,1,2,2,2,4,1,5,3,1,3,3,4,4,4,4,4,2,5,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
4335,Chile,1,1,1,3,24,1,2,2,2,2,2,2,1,3,3,2,4,2,1,1,0,0,0,0,1,4,4,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
30714,United States of America,1,1,1,3,39,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
27476,Spain,1,1,1,3,21,2,2,1,,4,1,1,4,,,,,,,0,0,0,0,1,5,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,2,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,6,2,6,6,2,2,1,1,1,6,1,1,3,1,1,3,1,1,4,3,4,4,4,5,3,2,4,2,3,5,5,3,2,2,5,3,2,2,2,3,2,1,1,,2,,4,1,3,5,5,5,5,5,5,5,5,5,5,5,2,4,5,2,1,1,1,1,1,1,3,1,1,5,1,5,4,5,1,5,4,1,1,4,4,1,5,4,4,5,1,2,1,en
25295,Russia,1,1,1,1,20,2,2,4,4,4,3,3,1,5,4,4,3,3,1,1,0,1,1,0,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,5,3,5,4,3,3,4,4,3,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,4,5,5,1,6,1,1,2,6,4,3,3,3,1,3,3,3,3,3,3,4,4,4,2,2,1,3,4,2,3,2,3,2,2,4,3,1,3,2,4,1,2,,1,1,3,5,3,5,1,4,4,4,5,4,4,4,4,4,2,5,5,1,1,1,1,1,1,1,2,1,1,4,2,4,5,5,1,5,3,1,1,3,4,1,4,5,5,4,5,5,2,en
19582,Oman,1,1,1,4,23,1,2,5,2,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
21325,Poland,1,1,1,2,21,1,2,4,5,,4,,4,2,4,,3,,4,0,0,0,0,1,5,4,4,4,4,4,3,4,4,,4,4,4,4,,,4,4,4,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,3,6,3,3,,2,5,3,,,5,1,12,6,1,12,12,1,12,4,3,2,2,2,2,2,3,2,3,2,2,2,1,3,1,4,2,3,2,1,5,,,2,,1,1,5,4,4,3,1,1,1,1,1,1,1,1,1,1,2,5,3,3,2,5,3,3,2,2,2,3,1,3,1,3,5,5,1,5,4,1,3,3,4,2,5,5,5,3,1,3,1,en
29453,Turkey,1,1,2,2,23,2,2,2,2,2,2,3,1,2,2,2,2,2,1,1,1,1,1,0,2,5,5,5,5,5,1,4,,5,5,5,3,3,3,3,4,3,3,5,1,5,1,1,4,4,5,5,4,1,5,5,5,4,3,5,5,5,5,5,5,5,5,4,4,2,4,1,1,1,1,5,1,3,3,7,1,3,3,3,1,2,1,1,2,1,3,1,1,3,1,5,4,4,3,1,4,3,3,3,3,5,,1,2,,2,,4,4,4,4,2,,,,,,,,,,2,4,5,2,1,1,1,5,1,2,3,1,1,5,5,2,5,4,2,5,2,1,1,1,5,1,5,5,5,5,5,3,1,tr
6541,Ecuador,1,1,1,1,27,1,2,3,3,3,3,3,1,3,4,3,3,3,1,1,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,1,4,4,3,3,3,3,2,3,4,4,3,4,2,2,2,2,2,2,2,1,1,6,1,1,1,3,3,1,1,3,1,4,4,4,3,5,2,4,3,3,1,2,2,3,2,3,4,1,2,2,4,3,4,1,1,4,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,es
10603,India,1,1,1,3,22,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,3,3,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
8515,Germany,1,1,1,1,20,2,2,4,,3,2,3,5,4,,3,2,2,5,0,0,0,0,1,5,4,3,4,4,2,5,3,2,,3,2,,,,3,4,4,,5,2,2,3,3,2,4,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,1,6,1,1,4,2,1,1,1,1,3,3,1,1,3,12,,2,2,3,4,2,4,4,2,3,1,3,3,3,3,3,2,3,3,2,2,4,3,,1,2,,2,,4,3,2,5,4,5,5,2,5,4,4,5,5,,2,4,4,3,2,4,2,3,2,3,4,2,1,4,1,3,4,5,1,5,4,1,2,4,1,3,5,4,4,4,1,3,2,en
3404,Chile,1,1,,1,,2,2,4,4,3,4,3,1,4,4,3,5,4,1,1,0,1,1,0,1,4,3,4,5,4,3,4,3,5,5,4,5,4,3,5,5,4,4,3,4,3,3,4,3,5,5,5,5,5,5,5,5,4,5,2,2,4,2,4,4,3,6,4,3,6,1,4,3,1,1,6,1,3,6,3,3,1,3,3,3,3,3,3,3,4,4,3,2,2,5,3,3,4,4,4,4,1,3,3,2,5,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
9980,Hungary,1,2,1,4,29,1,2,,4,3,4,4,2,,4,,4,4,2,0,0,1,1,0,3,4,3,4,,4,3,4,4,4,4,3,,,,,4,4,,4,3,4,4,3,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,6,4,6,5,2,4,4,2,2,5,1,1,1,6,1,1,1,1,3,3,2,4,4,4,2,2,2,3,1,2,3,3,3,2,2,1,1,1,3,1,5,,2,,2,,1,3,3,,,,,,2,2,,,,,2,5,2,2,2,1,1,1,1,1,1,2,1,2,1,1,3,5,2,2,2,1,1,1,1,1,3,5,3,2,1,1,2,en
16389,Mexico,,,,,,,2,5,4,,4,,1,5,5,,,,1,1,0,0,1,0,4,5,5,5,5,5,5,,,4,5,,,,,5,,,,4,3,3,4,4,3,4,5,5,4,1,5,5,4,4,3,4,4,4,4,4,4,4,1,1,6,1,1,6,4,1,1,6,1,3,6,3,1,3,12,3,2,2,2,2,2,5,1,1,2,3,1,1,2,3,4,2,3,4,2,1,3,5,,1,1,2,1,1,1,4,3,3,4,4,4,4,5,5,5,5,5,5,2,4,3,4,1,2,5,1,2,1,1,3,3,1,1,5,4,5,2,5,1,1,5,1,5,1,5,5,5,1,1,4,1,es
6578,Ecuador,1,1,1,3,23,2,2,3,3,4,3,3,1,3,3,3,3,3,1,1,1,0,0,0,3,3,2,3,5,3,3,3,3,3,3,3,2,3,3,2,4,3,3,4,3,3,4,3,3,2,5,5,5,5,4,3,4,3,4,5,5,3,5,5,4,4,3,2,5,6,3,1,1,1,1,3,4,4,4,4,4,4,4,4,4,3,2,3,3,2,2,3,2,1,3,2,2,3,4,2,2,3,1,3,3,3,4,1,2,,2,,1,3,1,1,3,5,5,4,4,4,5,4,4,4,2,4,1,5,3,4,2,3,2,2,3,1,1,4,1,3,4,4,1,5,4,2,2,2,5,2,5,4,5,4,1,3,2,es
1166,Bangladesh,1,1,1,4,23,2,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
27006,South Africa,1,1,,2,22,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,6,5,3,1,1,6,1,3,6,7,3,10,7,1,2,3,2,4,2,2,1,1,3,3,4,1,5,5,4,3,3,5,2,2,5,5,,1,,,2,,3,2,4,3,2,5,5,3,5,3,3,5,4,4,1,2,4,2,1,4,3,5,2,4,1,3,1,4,1,3,4,5,2,5,3,2,5,5,5,4,5,4,5,5,3,3,3,en
17221,Mexico,1,2,1,3,,2,2,1,,,4,3,4,1,,,4,3,4,1,0,1,0,0,3,5,2,3,3,5,5,2,2,3,5,,,2,,,4,,,5,1,2,1,4,4,5,3,3,4,5,5,5,5,5,3,5,5,5,5,5,5,5,2,1,2,6,1,4,4,2,1,6,4,4,1,4,1,3,4,1,3,3,2,4,1,4,1,3,5,3,5,3,5,5,5,3,5,5,2,3,4,1,5,,2,,2,,1,2,4,,5,5,5,,,5,,,,,1,5,4,1,3,2,2,1,1,4,1,1,1,3,4,3,4,5,1,5,5,1,4,1,1,4,5,5,5,3,5,3,1,es
11505,India,1,1,1,3,22,2,2,3,2,2,4,3,4,2,2,2,4,3,4,0,0,0,1,0,4,2,3,3,3,3,5,2,2,3,2,2,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
6578,Ecuador,1,1,1,3,23,2,2,3,3,4,3,3,1,3,3,3,3,3,1,1,1,0,0,0,3,3,2,3,5,3,3,3,3,3,3,3,2,3,3,2,4,3,3,4,3,3,4,3,3,2,5,5,5,5,4,3,4,3,4,5,5,3,5,5,4,4,3,2,5,6,3,1,1,1,1,3,4,4,4,4,4,4,4,4,4,3,2,3,3,2,2,3,2,1,3,2,2,3,4,2,2,3,1,3,3,3,4,1,2,,2,,1,3,1,1,3,5,5,4,4,4,5,4,4,4,2,4,1,5,3,4,2,3,2,2,3,1,1,4,1,3,4,4,1,5,4,2,2,2,5,2,5,4,5,4,1,3,2,es
24664,Romania,1,1,1,2,,2,2,3,,,3,4,1,2,,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ro
